,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7
0,0,0.0,0.0,0.39,0.04,0.08,0.11,0.13,0.24,0.05,0.3,0.0,0.07,0.05,0.13,0.06,0.34,0.02,0.04,0.3,0.0,0.07,0.13,0.08,0.35,0.08,0.09,0.22,0.2,0.0,0.12,0.05,0.23,0.07,0.07,0.28,0.06,0.11,0.0,0.12,0.29,0.05,0.2,0.22,0.05,0.05,0.08,0.0,0.35,0.06,0.07,0.37,0.09,0.12,0.15,0.14,0.0
1,1,0.13,0.0,0.36,0.06,0.11,0.15,0.13,0.07,0.15,0.14,0.0,0.08,0.08,0.11,0.1,0.34,0.13,0.08,0.19,0.0,0.16,0.17,0.1,0.18,0.24,0.13,0.14,0.1,0.0,0.21,0.05,0.14,0.16,0.2,0.19,0.13,0.09,0.0,0.1,0.13,0.17,0.17,0.24,0.06,0.05,0.14,0.0,0.16,0.18,0.06,0.21,0.1,0.1,0.16,0.2,0.0
2,2,0.01,0.0,0.31,0.05,0.09,0.14,0.12,0.27,0.04,0.25,0.0,0.07,0.04,0.06,0.05,0.49,0.05,0.1,0.22,0.0,0.12,0.12,0.07,0.32,0.08,0.1,0.21,0.18,0.0,0.11,0.04,0.28,0.05,0.1,0.26,0.12,0.07,0.0,0.14,0.26,0.05,0.16,0.28,0.05,0.08,0.1,0.0,0.29,0.06,0.11,0.3,0.15,0.08,0.16,0.13,0.0
3,3,0.01,0.0,0.35,0.27,0.07,0.11,0.11,0.07,0.05,0.18,0.0,0.13,0.16,0.18,0.06,0.23,0.03,0.05,0.25,0.0,0.18,0.21,0.09,0.19,0.07,0.14,0.32,0.27,0.0,0.1,0.04,0.06,0.04,0.05,0.36,0.32,0.08,0.0,0.04,0.11,0.04,0.09,0.42,0.14,0.05,0.14,0.0,0.11,0.04,0.05,0.34,0.16,0.15,0.17,0.08,0.0
4,4,0.01,0.0,0.29,0.11,0.06,0.1,0.13,0.28,0.04,0.2,0.0,0.11,0.1,0.1,0.11,0.34,0.03,0.04,0.18,0.0,0.14,0.13,0.11,0.37,0.05,0.06,0.31,0.17,0.0,0.09,0.07,0.25,0.06,0.06,0.19,0.17,0.09,0.0,0.2,0.23,0.05,0.14,0.34,0.1,0.06,0.11,0.0,0.21,0.06,0.07,0.24,0.18,0.1,0.17,0.18,0.0
5,5,0.02,0.0,0.38,0.15,0.11,0.13,0.13,0.08,0.1,0.16,0.0,0.12,0.09,0.14,0.14,0.25,0.06,0.06,0.16,0.0,0.1,0.16,0.09,0.36,0.04,0.13,0.43,0.21,0.0,0.07,0.02,0.09,0.14,0.07,0.24,0.24,0.1,0.0,0.07,0.13,0.1,0.13,0.31,0.13,0.06,0.13,0.0,0.13,0.1,0.06,0.21,0.22,0.1,0.18,0.14,0.0
6,6,0.01,0.0,0.59,0.03,0.09,0.14,0.12,0.02,0.06,0.14,0.0,0.1,0.1,0.13,0.13,0.35,0.12,0.08,0.25,0.0,0.1,0.18,0.09,0.17,0.1,0.18,0.39,0.14,0.0,0.1,0.03,0.06,0.12,0.16,0.35,0.09,0.09,0.0,0.08,0.1,0.1,0.11,0.39,0.08,0.05,0.16,0.0,0.11,0.12,0.07,0.23,0.1,0.08,0.22,0.18,0.0
7,7,0.01,0.0,0.33,0.13,0.06,0.08,0.08,0.31,0.04,0.09,0.0,0.14,0.14,0.1,0.1,0.37,0.03,0.04,0.18,0.0,0.09,0.11,0.07,0.48,0.08,0.09,0.28,0.15,0.0,0.11,0.04,0.25,0.04,0.07,0.2,0.23,0.09,0.0,0.12,0.25,0.05,0.1,0.35,0.09,0.05,0.08,0.0,0.29,0.04,0.05,0.26,0.29,0.09,0.15,0.12,0.0
8,8,0.01,0.0,0.54,0.07,0.06,0.18,0.1,0.04,0.06,0.1,0.0,0.12,0.19,0.26,0.07,0.2,0.02,0.05,0.31,0.0,0.16,0.17,0.1,0.18,0.05,0.13,0.37,0.18,0.0,0.17,0.04,0.06,0.04,0.04,0.55,0.11,0.1,0.0,0.06,0.1,0.03,0.15,0.53,0.06,0.04,0.14,0.0,0.05,0.03,0.08,0.32,0.15,0.06,0.19,0.16,0.0
9,9,0.02,0.0,0.38,0.09,0.08,0.23,0.13,0.05,0.06,0.08,0.0,0.15,0.23,0.27,0.07,0.14,0.04,0.08,0.19,0.0,0.16,0.21,0.13,0.18,0.13,0.12,0.22,0.08,0.0,0.24,0.08,0.12,0.08,0.09,0.23,0.19,0.18,0.0,0.07,0.16,0.06,0.1,0.49,0.05,0.05,0.17,0.0,0.09,0.06,0.07,0.18,0.13,0.12,0.23,0.21,0.0
