,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5
0,0,0.15,0.0,0.09,0.2,0.13,0.44,0.02,0.42,0.0,0.09,0.28,0.19,0.02,0.57,0.1,0.0,0.12,0.19,0.02,0.56,0.1,0.11,0.0,0.21,0.05,0.6,0.03,0.21,0.11,0.0
1,1,0.14,0.0,0.06,0.08,0.1,0.62,0.04,0.5,0.0,0.08,0.23,0.15,0.02,0.56,0.1,0.0,0.11,0.2,0.06,0.53,0.08,0.08,0.0,0.24,0.06,0.7,0.05,0.11,0.09,0.0
2,2,0.1,0.0,0.08,0.15,0.11,0.55,0.05,0.53,0.0,0.08,0.21,0.14,0.03,0.58,0.13,0.0,0.09,0.17,0.01,0.64,0.04,0.08,0.0,0.23,0.02,0.67,0.03,0.12,0.16,0.0
3,3,0.01,0.0,0.18,0.23,0.46,0.12,0.03,0.33,0.0,0.26,0.32,0.05,0.03,0.32,0.18,0.0,0.26,0.21,0.03,0.44,0.11,0.34,0.0,0.08,0.01,0.31,0.08,0.22,0.38,0.0
4,4,0.07,0.0,0.11,0.31,0.15,0.36,0.04,0.48,0.0,0.09,0.29,0.1,0.02,0.4,0.09,0.0,0.32,0.18,0.07,0.4,0.16,0.12,0.0,0.25,0.04,0.45,0.09,0.16,0.26,0.0
5,5,0.05,0.0,0.12,0.29,0.17,0.37,0.05,0.35,0.0,0.21,0.22,0.17,0.02,0.52,0.09,0.0,0.17,0.2,0.05,0.54,0.04,0.12,0.0,0.25,0.02,0.54,0.1,0.19,0.16,0.0
6,6,0.08,0.0,0.14,0.22,0.2,0.36,0.03,0.27,0.0,0.17,0.33,0.2,0.03,0.38,0.1,0.0,0.25,0.24,0.03,0.47,0.11,0.1,0.0,0.29,0.01,0.41,0.09,0.2,0.29,0.0
7,7,0.02,0.0,0.13,0.35,0.22,0.28,0.04,0.23,0.0,0.41,0.2,0.12,0.03,0.22,0.1,0.0,0.33,0.32,0.01,0.32,0.08,0.44,0.0,0.15,0.01,0.18,0.12,0.29,0.4,0.0
8,8,0.04,0.0,0.13,0.21,0.32,0.3,0.06,0.38,0.0,0.1,0.32,0.15,0.02,0.28,0.08,0.0,0.36,0.25,0.0,0.6,0.06,0.19,0.0,0.15,0.02,0.48,0.05,0.18,0.28,0.0
9,9,0.17,0.0,0.12,0.21,0.22,0.28,0.04,0.35,0.0,0.26,0.26,0.1,0.03,0.49,0.1,0.0,0.23,0.15,0.0,0.62,0.1,0.19,0.0,0.09,0.02,0.48,0.09,0.27,0.14,0.0
10,10,0.14,0.0,0.1,0.2,0.21,0.35,0.07,0.26,0.0,0.41,0.18,0.08,0.03,0.31,0.11,0.0,0.37,0.18,0.01,0.5,0.08,0.31,0.0,0.09,0.01,0.32,0.21,0.25,0.2,0.0
11,11,0.19,0.0,0.06,0.1,0.08,0.56,0.15,0.4,0.0,0.12,0.15,0.19,0.02,0.38,0.09,0.0,0.22,0.29,0.03,0.58,0.06,0.07,0.0,0.25,0.01,0.59,0.06,0.24,0.11,0.0
12,12,0.04,0.0,0.11,0.21,0.42,0.21,0.03,0.22,0.0,0.23,0.41,0.1,0.02,0.16,0.08,0.0,0.48,0.26,0.0,0.52,0.07,0.24,0.0,0.17,0.01,0.31,0.06,0.26,0.36,0.0
13,13,0.11,0.0,0.09,0.12,0.15,0.53,0.08,0.31,0.0,0.1,0.23,0.27,0.03,0.39,0.08,0.0,0.2,0.29,0.04,0.45,0.05,0.11,0.0,0.36,0.01,0.56,0.05,0.2,0.17,0.0
14,14,0.15,0.0,0.06,0.09,0.11,0.6,0.04,0.39,0.0,0.1,0.28,0.2,0.03,0.5,0.07,0.0,0.17,0.23,0.05,0.49,0.1,0.09,0.0,0.27,0.07,0.6,0.03,0.15,0.15,0.0
15,15,0.08,0.0,0.14,0.21,0.27,0.3,0.06,0.32,0.0,0.12,0.33,0.17,0.02,0.33,0.08,0.0,0.4,0.17,0.03,0.46,0.15,0.14,0.0,0.22,0.01,0.42,0.07,0.16,0.34,0.0
16,16,0.05,0.0,0.16,0.24,0.28,0.27,0.03,0.32,0.0,0.09,0.36,0.2,0.01,0.29,0.08,0.0,0.49,0.12,0.01,0.59,0.12,0.15,0.0,0.13,0.02,0.37,0.06,0.18,0.37,0.0
17,17,0.07,0.0,0.17,0.19,0.3,0.28,0.03,0.32,0.0,0.09,0.37,0.19,0.02,0.17,0.07,0.0,0.39,0.35,0.03,0.36,0.07,0.14,0.0,0.4,0.01,0.21,0.09,0.17,0.51,0.0
18,18,0.02,0.0,0.2,0.18,0.46,0.14,0.03,0.19,0.0,0.25,0.48,0.05,0.01,0.11,0.06,0.0,0.73,0.1,0.05,0.47,0.06,0.22,0.0,0.2,0.01,0.21,0.05,0.15,0.58,0.0
19,19,0.08,0.0,0.1,0.18,0.19,0.46,0.03,0.3,0.0,0.19,0.25,0.24,0.03,0.28,0.15,0.0,0.28,0.25,0.01,0.5,0.14,0.1,0.0,0.25,0.03,0.5,0.08,0.18,0.21,0.0
20,20,0.12,0.0,0.13,0.15,0.27,0.33,0.08,0.37,0.0,0.17,0.31,0.08,0.04,0.45,0.13,0.0,0.27,0.11,0.05,0.49,0.22,0.1,0.0,0.13,0.03,0.46,0.15,0.15,0.22,0.0
21,21,0.11,0.0,0.11,0.18,0.22,0.38,0.04,0.31,0.0,0.17,0.32,0.16,0.02,0.36,0.11,0.0,0.28,0.22,0.01,0.5,0.16,0.15,0.0,0.18,0.01,0.48,0.09,0.22,0.19,0.0
22,22,0.14,0.0,0.08,0.11,0.23,0.43,0.04,0.3,0.0,0.13,0.37,0.15,0.03,0.31,0.13,0.0,0.31,0.21,0.04,0.51,0.18,0.14,0.0,0.13,0.02,0.33,0.14,0.27,0.24,0.0
23,23,0.1,0.0,0.05,0.09,0.08,0.28,0.04,0.27,0.0,0.06,0.17,0.06,0.02,0.3,0.05,0.0,0.18,0.06,0.06,0.32,0.04,0.11,0.0,0.07,0.02,0.25,0.04,0.12,0.17,0.0
